Template Name,Height,length,breadth,unit,weight,weightunit
Templatebulk23,12,13,14,Inch,50,KG
Templatebulk24,12,13,14,Inch,50,KG
Templatebulk25,12,13,14,Inch,50,KG
Templatebulk26,12,13,14,Inch,50,KG
Templatebulk27,12,13,14,Inch,50,KG
Templatebulk28,12,13,14,Inch,50,KG
Templatebulk29,12,13,14,Inch,50,KG
Templatebulk30,12,13,14,Inch,50,KG
Templatebulk31,12,13,14,Inch,50,KG
Templatebulk32,12,13,14,Inch,50,KG
Templatebulk33,12,13,14,Inch,50,KG
Templatebulk34,12,13,14,Inch,50,KG
Templatebulk35,12,13,14,Inch,50,KG
Templatebulk36,12,13,14,Inch,50,KG
Templatebulk37,12,13,14,Inch,50,KG
Templatebulk38,12,13,14,Inch,50,KG
Templatebulk39,12,13,14,Inch,50,KG
Templatebulk40,12,13,14,Inch,50,KG
Templatebulk41,12,13,14,Inch,50,KG
